parameterid;parameter;compartiment;watertype;2016;2017;2018;2019;2020;2021;2022;2023;2024
BEMSDOVZDE_SOORT;BEMSDOVZDE;EZ;M10;116;48;50;163;68;44;160;36;5
BEMSDOVZDE_SOORT;BEMSDOVZDE;EZ;M1a;113;64;213;140;72;182;125;148;203
BEMSDOVZDE_SOORT;BEMSDOVZDE;EZ;M6b;0;0;0;0;0;0;0;0;5
BEMSDOVZDE_SOORT;BEMSDOVZDE;EZ;M8;77;84;87;88;122;104;87;152;149
BEMSRBTE_m;BEMSRBTE;EZ;M10;116;49;50;163;68;44;160;36;5
BEMSRBTE_m;BEMSRBTE;EZ;M1a;115;64;213;144;72;183;128;148;204
BEMSRBTE_m;BEMSRBTE;EZ;M6b;0;0;0;0;0;0;0;0;5
BEMSRBTE_m;BEMSRBTE;EZ;M8;77;84;87;88;122;104;87;152;149
BEMSRBTE_m;BEMSRBTE;OR;M10;3;0;0;8;9;9;8;7;0
BEMSRBTE_m;BEMSRBTE;OR;M1a;2;0;0;1;4;0;1;4;0
BEMSRBTE_m;BEMSRBTE;OR;M8;5;5;23;5;10;8;5;5;0
FOTO_n;FOTO;EZ;M10;0;49;49;163;68;44;160;36;5
FOTO_n;FOTO;EZ;M1a;0;61;211;144;72;183;128;148;204
FOTO_n;FOTO;EZ;M6b;0;0;0;0;0;0;0;0;5
FOTO_n;FOTO;EZ;M8;0;83;86;88;122;103;87;152;149
KWELIDCTE_SOORT;KWELIDCTE;EZ;M10;116;48;50;163;68;44;160;36;4
KWELIDCTE_SOORT;KWELIDCTE;EZ;M1a;113;64;213;140;72;182;125;147;203
KWELIDCTE_SOORT;KWELIDCTE;EZ;M6b;0;0;0;0;0;0;0;0;5
KWELIDCTE_SOORT;KWELIDCTE;EZ;M8;77;84;87;88;122;104;87;152;149
MONSLTE_m;MONSLTE;EZ;M10;116;49;50;163;68;44;160;36;5
MONSLTE_m;MONSLTE;EZ;M1a;115;64;213;144;72;183;128;148;204
MONSLTE_m;MONSLTE;EZ;M6b;0;0;0;0;0;0;0;0;5
MONSLTE_m;MONSLTE;EZ;M8;77;84;87;88;122;104;87;152;149
MONSLTE_m;MONSLTE;OR;M10;3;0;0;8;9;9;8;7;0
MONSLTE_m;MONSLTE;OR;M1a;2;0;0;1;4;0;1;4;0
MONSLTE_m;MONSLTE;OR;M8;5;5;23;5;10;8;5;5;0
OEVBSIG_SOORT;OEVBSIG;EZ;M10;116;49;50;163;68;44;160;36;5
OEVBSIG_SOORT;OEVBSIG;EZ;M1a;115;64;213;144;72;183;128;148;204
OEVBSIG_SOORT;OEVBSIG;EZ;M6b;0;0;0;0;0;0;0;0;5
OEVBSIG_SOORT;OEVBSIG;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;"";EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;"";EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;"";EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;"";EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;"";OR;M10;3;0;0;8;9;9;8;7;0
PTN_BEDKG_%;"";OR;M1a;2;0;0;1;4;0;1;4;0
PTN_BEDKG_%;"";OR;M8;5;5;23;5;10;8;5;5;0
PTN_BEDKG_%;"";OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;DRIJFBPTN;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;DRIJFBPTN;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;DRIJFBPTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;DRIJFBPTN;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;DRIJFBPTN;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;EMSPTN;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;EMSPTN;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;EMSPTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;EMSPTN;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;EMSPTN;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;FLAB;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;FLAB;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;FLAB;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;FLAB;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;FLAB;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;KROOS;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;KROOS;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;KROOS;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;KROOS;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;KROOS;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;OEVPTN;OR;M10;3;0;0;8;9;9;8;7;5
PTN_BEDKG_%;OEVPTN;OR;M1a;2;0;0;1;4;0;1;4;196
PTN_BEDKG_%;OEVPTN;OR;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;OEVPTN;OR;M8;5;5;23;5;10;8;5;5;149
PTN_BEDKG_%;PTN;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;PTN;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;PTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;PTN;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;PTN;OR;M10;3;0;0;8;9;9;8;7;0
PTN_BEDKG_%;PTN;OR;M1a;2;0;0;1;4;0;1;4;0
PTN_BEDKG_%;PTN;OR;M8;5;5;23;5;10;8;5;5;0
PTN_BEDKG_%;PTN;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BEDKG_%;SUBMSPTN;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BEDKG_%;SUBMSPTN;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BEDKG_%;SUBMSPTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BEDKG_%;SUBMSPTN;EZ;M8;77;84;87;88;122;104;87;152;149
PTN_BEDKG_%;SUBMSPTN;OW;M1a;3;0;0;3;0;1;3;0;1
PTN_BREEDTE_m;EMSPTN;EZ;M10;116;49;50;163;68;44;160;36;5
PTN_BREEDTE_m;EMSPTN;EZ;M1a;115;64;213;144;72;183;128;148;204
PTN_BREEDTE_m;EMSPTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_BREEDTE_m;EMSPTN;EZ;M8;77;84;87;88;122;104;87;151;149
PTN_BREEDTE_m;OEVPTN;OR;M10;3;0;0;8;9;9;8;7;5
PTN_BREEDTE_m;OEVPTN;OR;M1a;2;0;0;1;4;0;1;4;196
PTN_BREEDTE_m;OEVPTN;OR;M6b;0;0;0;0;0;0;0;0;5
PTN_BREEDTE_m;OEVPTN;OR;M8;5;5;23;5;10;8;5;5;149
PTN_LENGTFTE_%;EMSPTN;EZ;M10;0;0;0;0;0;0;0;0;5
PTN_LENGTFTE_%;EMSPTN;EZ;M1a;0;0;0;0;0;0;0;0;204
PTN_LENGTFTE_%;EMSPTN;EZ;M6b;0;0;0;0;0;0;0;0;5
PTN_LENGTFTE_%;EMSPTN;EZ;M8;0;0;0;0;0;0;0;0;149
PTN_LENGTFTE_%;OEVPTN;OR;M10;0;0;0;0;0;0;0;0;5
PTN_LENGTFTE_%;OEVPTN;OR;M1a;0;0;0;0;0;0;0;0;198
PTN_LENGTFTE_%;OEVPTN;OR;M6b;0;0;0;0;0;0;0;0;5
PTN_LENGTFTE_%;OEVPTN;OR;M8;0;0;0;0;0;0;0;0;149
SLIBDTE_m;SLIBDTE;EZ;M10;116;48;50;163;68;44;159;36;5
SLIBDTE_m;SLIBDTE;EZ;M1a;113;64;212;140;72;182;125;148;203
SLIBDTE_m;SLIBDTE;EZ;M6b;0;0;0;0;0;0;0;0;5
SLIBDTE_m;SLIBDTE;EZ;M8;77;84;87;88;122;104;87;152;148
SLIBDTE_m_LINKSMDPTJT;SLIBDTE;EZ;M10;0;0;50;162;68;44;159;36;5
SLIBDTE_m_LINKSMDPTJT;SLIBDTE;EZ;M1a;0;0;212;140;72;182;125;148;203
SLIBDTE_m_LINKSMDPTJT;SLIBDTE;EZ;M6b;0;0;0;0;0;0;0;0;5
SLIBDTE_m_LINKSMDPTJT;SLIBDTE;EZ;M8;0;0;86;88;122;104;87;152;147
SLIBDTE_m_RECHTSMDPTJT;SLIBDTE;EZ;M10;0;0;49;163;68;44;159;36;5
SLIBDTE_m_RECHTSMDPTJT;SLIBDTE;EZ;M1a;0;0;212;140;72;182;125;148;203
SLIBDTE_m_RECHTSMDPTJT;SLIBDTE;EZ;M6b;0;0;0;0;0;0;0;0;5
SLIBDTE_m_RECHTSMDPTJT;SLIBDTE;EZ;M8;0;0;87;88;122;104;87;152;148
TALBVWTR_graad;TALBVWTR;EZ;M10;116;48;50;163;68;44;160;36;5
TALBVWTR_graad;TALBVWTR;EZ;M1a;113;64;213;140;72;182;125;148;203
TALBVWTR_graad;TALBVWTR;EZ;M6b;0;0;0;0;0;0;0;0;5
TALBVWTR_graad;TALBVWTR;EZ;M8;77;84;87;88;122;104;87;152;149
WATDTE_m;WATDTE;EZ;M10;116;49;50;163;68;44;160;36;5
WATDTE_m;WATDTE;EZ;M1a;115;64;212;144;72;183;128;148;204
WATDTE_m;WATDTE;EZ;M6b;0;0;0;0;0;0;0;0;5
WATDTE_m;WATDTE;EZ;M8;77;84;87;88;122;104;87;152;149
WATDTE_m;WATDTE;OW;M1a;3;0;0;3;0;1;3;0;1
WATERBTE_m;WATERBTE;EZ;M10;116;48;50;163;68;44;160;36;5
WATERBTE_m;WATERBTE;EZ;M1a;113;64;213;140;72;182;125;148;203
WATERBTE_m;WATERBTE;EZ;M6b;0;0;0;0;0;0;0;0;5
WATERBTE_m;WATERBTE;EZ;M8;77;84;87;88;122;104;87;152;149
ZICHT_m;ZICHT;EZ;M10;116;49;50;163;68;44;158;36;5
ZICHT_m;ZICHT;EZ;M1a;115;64;212;144;72;183;128;147;204
ZICHT_m;ZICHT;EZ;M6b;0;0;0;0;0;0;0;0;5
ZICHT_m;ZICHT;EZ;M8;77;84;87;88;122;103;86;152;148
ZICHT_m;ZICHT;OW;M1a;3;0;0;3;0;1;3;0;1
